Statistical profiling result from fast-v8.log, (15115 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  Function: ^r C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@faker-js\faker\dist\cjs\locales\index.js:1:441
      1    0.0%    0.2%  Function: ^pp$3.parseSubscript C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:2163:33
      1    0.0%    0.2%  Function: ^parseFileMode node:internal/validators:59:23
      1    0.0%    0.2%  Function: ^ondata C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\readable-stream\lib\_stream_readable.js:679:18
      1    0.0%    0.2%  Function: ^isExpression C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\types\lib\validators\generated\index.js:4029:22
      1    0.0%    0.2%  Function: ^isAbsolute node:path:402:13
      1    0.0%    0.2%  Function: ^internalBinding node:internal/bootstrap/loaders:164:45
      1    0.0%    0.2%  Function: ^finalizeRemainingComments C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1691:28
      1    0.0%    0.2%  Function: ^expect C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:4001:9
      1    0.0%    0.2%  Function: ^encodeRealpathResult node:fs:2375:30
      1    0.0%    0.2%  Function: ^digest node:internal/crypto/hash:115:40
      1    0.0%    0.2%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.2%  Function: ^compileBody C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug\lib\index.js:77:21
      1    0.0%    0.2%  Function: ^compileAttrs C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-attrs\index.js:22:22
      1    0.0%    0.2%  Function: ^compile C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:109:20
      1    0.0%    0.2%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.2%  Function: ^allocUnsafe node:buffer:373:42
      1    0.0%    0.2%  Function: ^Writable.write node:internal/streams/writable:333:36
      1    0.0%    0.2%  Function: ^TokenStream C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\token-stream\index.js:4:21
      1    0.0%    0.2%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.2%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.2%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1112:37
      1    0.0%    0.2%  Function: ^LValParser C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:11596:1
      1    0.0%    0.2%  Function: ^Identifier C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\with\lib\globals.js:137:15
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/fs/utils:668:38
      1    0.0%    0.2%  Function: ^<anonymous> C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-linker\index.js:193:21

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
    477    3.2%   98.4%  JavaScript
      0    0.0%    0.0%  C++
    144    1.0%   29.7%  GC
  14630   96.8%          Shared libraries
      8    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  10991   72.7%  C:\Windows\SYSTEM32\ntdll.dll
    161    1.5%    C:\Program Files\nodejs\node.exe
     10    6.2%      C:\Program Files\nodejs\node.exe
      4   40.0%        Function: ^Module node:internal/modules/cjs/loader:172:16
      4  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
